Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 300: cost=172.2336  [spot_bright=104.1795  spot_dark=68.0541]
step 301: cost=172.1895  [spot_bright=104.3272  spot_dark=67.8623]
step 302: cost=172.9000  [spot_bright=103.7108  spot_dark=69.1892]
step 303: cost=172.2277  [spot_bright=104.2232  spot_dark=68.0045]
step 304: cost=172.2400  [spot_bright=104.1765  spot_dark=68.0634]
step 305: cost=172.8023  [spot_bright=103.7218  spot_dark=69.0805]
step 306: cost=172.1503  [spot_bright=104.4706  spot_dark=67.6797]
step 307: cost=172.5992  [spot_bright=103.7793  spot_dark=68.8198]
step 308: cost=172.2071  [spot_bright=104.0902  spot_dark=68.1169]
step 309: cost=172.1809  [spot_bright=104.1025  spot_dark=68.0784]
step 310: cost=172.5615  [spot_bright=103.7251  spot_dark=68.8365]
step 311: cost=172.1210  [spot_bright=104.5189  spot_dark=67.6021]
step 312: cost=172.8181  [spot_bright=103.5719  spot_dark=69.2462]
step 313: cost=172.0255  [spot_bright=104.3630  spot_dark=67.6625]
step 314: cost=172.3699  [spot_bright=103.7676  spot_dark=68.6024]
step 315: cost=171.9784  [spot_bright=104.1974  spot_dark=67.7810]
step 316: cost=172.2948  [spot_bright=104.1549  spot_dark=68.1399]
step 317: cost=172.3110  [spot_bright=104.2158  spot_dark=68.0952]
step 318: cost=172.3017  [spot_bright=104.2547  spot_dark=68.0470]
step 319: cost=172.3066  [spot_bright=104.2849  spot_dark=68.0216]
step 320: cost=172.3247  [spot_bright=104.3087  spot_dark=68.0161]
step 321: cost=172.3481  [spot_bright=104.3369  spot_dark=68.0112]
step 322: cost=172.3671  [spot_bright=104.3809  spot_dark=67.9862]
step 323: cost=172.3736  [spot_bright=104.4353  spot_dark=67.9382]
step 324: cost=172.3901  [spot_bright=104.4980  spot_dark=67.8921]
step 325: cost=172.4458  [spot_bright=104.5676  spot_dark=67.8783]
step 326: cost=172.5284  [spot_bright=104.6278  spot_dark=67.9006]
step 327: cost=172.5811  [spot_bright=104.6483  spot_dark=67.9328]
step 328: cost=172.6049  [spot_bright=104.6451  spot_dark=67.9598]
step 329: cost=172.6312  [spot_bright=104.6507  spot_dark=67.9804]
step 330: cost=172.6172  [spot_bright=104.6349  spot_dark=67.9823]
step 331: cost=171.9899  [spot_bright=104.1860  spot_dark=67.8039]
step 332: cost=171.9308  [spot_bright=104.2043  spot_dark=67.7265]
step 333: cost=171.9515  [spot_bright=104.2948  spot_dark=67.6567]
