edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
477,9374,11254,Mi2,T2,-1,0.965487
478,7802,1807,Tm2,TmY3,1,1.595659
479,12339,14278,Mi13,Tm4,-1,6.157777
480,778,2089,Lawf1,L3,1,4.382082
481,13982,11846,Tm4,TmY5a,1,10.000000
482,9785,6293,C3,T2,-1,1.023506
483,6267,8924,Mi9,T4a,-1,2.894580
484,13365,5096,L1,L5,-1,10.000000
485,14367,10,R1-6,Lai,-1,0.956192
486,10667,9561,Mi4,Tm5b,-1,0.458413
487,10594,5004,Lawf2,Lai,1,2.341204
488,14193,1781,Mi13,Tm2,-1,0.100000
489,9991,7241,Mi4,Tm9,-1,9.435307
490,5975,13568,L4,Tm2,1,0.117423
491,11070,7978,L2,L4,1,2.962557
492,6335,5029,L3,Tm27,1,0.973683
493,9265,12430,L2,L4,1,8.779132
494,12093,1399,L5,Tm3,1,1.188647
495,14016,10647,L2,L4,1,10.000000
496,6235,501,Tm4,T5c,1,1.040961
497,7396,11665,Tm4,T3,1,0.950505
498,4416,4502,Lawf1,L3,1,3.994041
499,163,10966,C3,L5,-1,2.426791
500,2403,439,TmY15,TmY14,-1,0.100000
501,9796,11792,T4a,Mi9,1,0.571576
502,4829,7788,Mi9,T4b,-1,2.252067
503,6579,8006,Tm3,T4c,1,0.971428
504,9350,9066,TmY3,TmY5a,1,0.975073
505,4376,140,Tm9,T5d,1,1.002685
506,9929,9910,Tm9,T5b,1,1.039266
507,6449,458,Mi1,T2a,1,1.045947
508,1081,10910,Mi1,T4b,1,1.108436
509,3199,960,R1-6,Lai,-1,2.576472
510,9012,9403,Mi1,Tm27,1,0.100000
511,3833,5416,Mi9,TmY11,-1,1.047314
512,12403,8665,Mi1,T4a,1,0.100000
513,8206,8679,Tm4,Tm21,1,1.020135
514,10711,12666,R1-6,Lai,-1,2.296117
515,406,3741,T1,Tm20,-1,0.979252
516,5342,11844,Mi1,Tm3,1,3.287395
517,3243,1710,Tm1,T5d,1,0.981556
518,7372,2475,Lawf1,L3,1,3.637798
519,12410,6550,Tm3,Tm3,1,0.242885
520,12243,2082,T2a,Tm5f,1,0.992273
