cell,root_id,n_pre,n_pre_with_column,votes,majority_column_id,mean_u,max_u,min_u,mean_v,max_v,min_v,mean_x,max_x,min_x,mean_y,max_y,min_y
TmY3,720575940644084384,63,46,"8, 7, 6, 5, 5, 4, 3, 3, 2, 2, 1",24,3.587,5,2,2.304,4,0,2.304,4.0,0.0,4.739,6.0,3.5
TmY3,720575940616821179,54,40,"8, 6, 5, 5, 4, 4, 2, 2, 1, 1, 1, 1",26,3.45,5,2,-2.55,-1,-4,-2.55,-1.0,-4.0,2.175,3.5,0.5
TmY3,720575940634948088,53,40,"8, 7, 7, 7, 6, 2, 2, 1",29,1.3,2,0,0.9,2,0,0.9,2.0,0.0,1.75,3.0,0.5
TmY3,720575940640881616,57,41,"9, 7, 7, 4, 4, 4, 3, 1, 1, 1",32,-6.39,-5,-9,-0.488,1,-2,-0.488,1.0,-2.0,-6.634,-5.5,-8.5
TmY3,720575940639195881,39,29,"6, 6, 4, 4, 3, 2, 1, 1, 1, 1",35,12.724,16,11,-1.793,0,-5,-1.793,0.0,-5.0,11.828,13.5,11.0
TmY3,720575940607349001,58,46,"7, 7, 7, 6, 6, 4, 4, 2, 1, 1, 1",39,-10.326,-8,-12,-0.478,2,-3,-0.478,2.0,-3.0,-10.565,-9.5,-11.5
TmY3,720575940627296361,63,46,"8, 7, 7, 6, 6, 3, 3, 2, 1, 1, 1, 1",42,-8.065,-6,-10,2.0,4,0,2.0,4.0,0.0,-7.065,-5.5,-8.5
TmY3,720575940607278210,45,32,"7, 7, 6, 5, 3, 3, 1",44,9.5,10,9,-9.906,-8,-11,-9.906,-8.0,-11.0,4.547,5.5,3.5
TmY3,720575940620805973,47,36,"8, 6, 5, 4, 4, 3, 2, 1, 1, 1, 1",45,-4.278,-2,-7,9.0,10,7,9.0,10.0,7.0,0.222,2.0,-2.0
TmY3,720575940620416681,62,43,"9, 8, 6, 6, 4, 3, 3, 2, 1, 1",46,-12.0,-10,-13,8.721,10,7,8.721,10.0,7.0,-7.64,-6.0,-9.0
TmY3,720575940621225949,47,36,"7, 6, 6, 6, 4, 4, 2, 1",47,-8.417,-6,-10,16.639,18,15,16.639,18.0,15.0,-0.097,1.5,-1.5
TmY3,720575940633981552,61,46,"6, 6, 5, 5, 5, 4, 3, 3, 2, 2, 2, 1, 1, 1",48,6.674,10,4,7.761,10,4,7.761,10.0,4.0,10.554,12.5,8.5
TmY3,720575940636155384,45,36,"8, 7, 6, 3, 3, 3, 2, 1, 1, 1, 1",55,1.639,3,0,6.528,8,5,6.528,8.0,5.0,4.903,6.0,3.5
TmY3,720575940611929038,52,39,"5, 5, 5, 5, 4, 4, 4, 2, 2, 1, 1, 1",56,8.026,10,7,-3.026,-1,-5,-3.026,-1.0,-5.0,6.513,8.0,5.5
TmY3,720575940644828964,42,32,"7, 6, 4, 4, 2, 2, 2, 2, 1, 1, 1",57,11.906,13,10,-13.469,-12,-15,-13.469,-12.0,-15.0,5.172,6.5,3.0
